"","Date","AQI","Location"
"1",2009-01-01,153,"MPCB-KR"
"2",2009-01-02,137,"MPCB-KR"
"3",2009-01-03,143,"MPCB-KR"
"4",2009-01-04,123,"MPCB-KR"
"5",2009-01-07,127,"MPCB-KR"
"6",2009-01-08,123,"MPCB-KR"
"7",2009-01-10,131,"MPCB-KR"
"8",2009-01-11,124,"MPCB-KR"
"9",2009-01-12,110,"MPCB-KR"
"10",2009-01-13,143,"MPCB-KR"
"11",2009-01-14,143,"MPCB-KR"
"12",2009-01-15,155,"MPCB-KR"
"13",2009-01-16,139,"MPCB-KR"
"14",2009-01-17,141,"MPCB-KR"
"15",2009-01-18,145,"MPCB-KR"
"16",2009-01-19,160,"MPCB-KR"
"17",2009-01-20,163,"MPCB-KR"
"18",2009-01-21,161,"MPCB-KR"
"19",2009-01-22,153,"MPCB-KR"
"20",2009-01-23,163,"MPCB-KR"
"21",2009-01-24,175,"MPCB-KR"
"22",2009-01-25,145,"MPCB-KR"
"23",2009-01-26,145,"MPCB-KR"
"24",2009-01-27,141,"MPCB-KR"
"25",2009-01-29,149,"MPCB-KR"
"26",2009-01-30,167,"MPCB-KR"
"27",2009-02-01,127,"MPCB-KR"
"28",2009-02-02,122,"MPCB-KR"
"29",2009-02-03,119,"MPCB-KR"
"30",2009-02-04,127,"MPCB-KR"
"31",2009-02-05,124,"MPCB-KR"
"32",2009-02-06,137,"MPCB-KR"
"33",2009-02-07,154,"MPCB-KR"
"34",2009-02-08,155,"MPCB-KR"
"35",2009-02-09,146,"MPCB-KR"
"36",2009-02-10,139,"MPCB-KR"
"37",2009-02-11,131,"MPCB-KR"
"38",2009-02-12,134,"MPCB-KR"
"39",2009-02-13,115,"MPCB-KR"
"40",2009-02-14,119,"MPCB-KR"
"41",2009-02-15,137,"MPCB-KR"
"42",2009-02-16,151,"MPCB-KR"
"43",2009-02-17,159,"MPCB-KR"
"44",2009-02-18,137,"MPCB-KR"
"45",2009-02-19,141,"MPCB-KR"
"46",2009-02-20,148,"MPCB-KR"
"47",2009-02-21,158,"MPCB-KR"
"48",2009-02-22,130,"MPCB-KR"
"49",2009-02-23,121,"MPCB-KR"
"50",2009-02-24,124,"MPCB-KR"
"51",2009-02-25,123,"MPCB-KR"
"52",2009-02-26,173,"MPCB-KR"
"53",2009-02-27,145,"MPCB-KR"
"54",2009-03-03,142,"MPCB-KR"
"55",2009-03-04,132,"MPCB-KR"
"56",2009-03-05,139,"MPCB-KR"
"57",2009-03-06,160,"MPCB-KR"
"58",2009-03-07,156,"MPCB-KR"
"59",2009-03-08,149,"MPCB-KR"
"60",2009-03-10,149,"MPCB-KR"
"61",2009-03-11,104,"MPCB-KR"
"62",2009-03-13,115,"MPCB-KR"
"63",2009-03-14,97,"MPCB-KR"
"64",2009-03-15,100,"MPCB-KR"
"65",2009-03-16,131,"MPCB-KR"
"66",2009-03-17,137,"MPCB-KR"
"67",2009-03-18,142,"MPCB-KR"
"68",2009-03-19,131,"MPCB-KR"
"69",2009-03-20,101,"MPCB-KR"
"70",2009-03-23,135,"MPCB-KR"
"71",2009-03-24,149,"MPCB-KR"
"72",2009-03-25,134,"MPCB-KR"
"73",2009-03-30,143,"MPCB-KR"
"74",2009-03-31,137,"MPCB-KR"
"75",2009-04-01,133,"MPCB-KR"
"76",2009-04-02,133,"MPCB-KR"
"77",2009-04-03,125,"MPCB-KR"
"78",2009-04-04,124,"MPCB-KR"
"79",2009-04-05,125,"MPCB-KR"
"80",2009-04-06,137,"MPCB-KR"
"81",2009-04-07,141,"MPCB-KR"
"82",2009-04-08,119,"MPCB-KR"
"83",2009-04-09,113,"MPCB-KR"
"84",2009-04-10,144,"MPCB-KR"
"85",2009-04-11,125,"MPCB-KR"
"86",2009-04-12,124,"MPCB-KR"
"87",2009-04-13,118,"MPCB-KR"
"88",2009-04-14,117,"MPCB-KR"
"89",2009-04-15,105,"MPCB-KR"
"90",2009-04-16,105,"MPCB-KR"
"91",2009-04-17,121,"MPCB-KR"
"92",2009-04-18,143,"MPCB-KR"
"93",2009-04-19,125,"MPCB-KR"
"94",2009-04-21,122,"MPCB-KR"
"95",2009-04-22,140,"MPCB-KR"
"96",2009-04-23,148,"MPCB-KR"
"97",2009-04-24,156,"MPCB-KR"
"98",2009-04-25,146,"MPCB-KR"
"99",2009-04-26,137,"MPCB-KR"
"100",2009-04-27,130,"MPCB-KR"
"101",2009-04-28,117,"MPCB-KR"
"102",2009-04-29,117,"MPCB-KR"
"103",2009-04-30,105,"MPCB-KR"
"104",2009-05-01,105,"MPCB-KR"
"105",2009-05-02,107,"MPCB-KR"
"106",2009-05-03,111,"MPCB-KR"
"107",2009-05-04,108,"MPCB-KR"
"108",2009-05-05,106,"MPCB-KR"
"109",2009-05-06,109,"MPCB-KR"
"110",2009-05-07,122,"MPCB-KR"
"111",2009-05-08,126,"MPCB-KR"
"112",2009-05-09,119,"MPCB-KR"
"113",2009-05-10,101,"MPCB-KR"
"114",2009-05-11,93,"MPCB-KR"
"115",2009-05-12,103,"MPCB-KR"
"116",2009-05-13,115,"MPCB-KR"
"117",2009-05-14,107,"MPCB-KR"
"118",2009-05-16,101,"MPCB-KR"
"119",2009-05-17,105,"MPCB-KR"
"120",2009-05-19,100,"MPCB-KR"
"121",2009-05-20,95,"MPCB-KR"
"122",2009-05-21,88,"MPCB-KR"
"123",2009-05-23,103,"MPCB-KR"
"124",2009-05-24,88,"MPCB-KR"
"125",2009-05-26,108,"MPCB-KR"
"126",2009-05-27,90,"MPCB-KR"
"127",2009-05-28,88,"MPCB-KR"
"128",2009-05-29,85,"MPCB-KR"
"129",2009-06-02,95,"MPCB-KR"
"130",2009-06-03,111,"MPCB-KR"
"131",2009-06-04,95,"MPCB-KR"
"132",2009-06-05,88,"MPCB-KR"
"133",2009-06-06,83,"MPCB-KR"
"134",2009-06-07,95,"MPCB-KR"
"135",2009-06-08,94,"MPCB-KR"
"136",2009-06-09,88,"MPCB-KR"
"137",2009-06-10,83,"MPCB-KR"
"138",2009-06-11,78,"MPCB-KR"
"139",2009-06-12,82,"MPCB-KR"
"140",2009-06-13,87,"MPCB-KR"
"141",2009-06-14,94,"MPCB-KR"
"142",2009-06-15,84,"MPCB-KR"
"143",2009-06-16,91,"MPCB-KR"
"144",2009-06-18,102,"MPCB-KR"
"145",2009-06-19,80,"MPCB-KR"
"146",2009-06-20,59,"MPCB-KR"
"147",2009-06-21,64,"MPCB-KR"
"148",2009-06-22,52,"MPCB-KR"
"149",2009-06-24,50,"MPCB-KR"
"150",2009-06-25,58,"MPCB-KR"
"151",2009-06-27,51,"MPCB-KR"
"152",2009-06-28,38,"MPCB-KR"
"153",2009-06-29,78,"MPCB-KR"
"154",2009-06-30,69,"MPCB-KR"
"155",2009-07-01,48,"MPCB-KR"
"156",2009-07-02,49,"MPCB-KR"
"157",2009-07-03,42,"MPCB-KR"
"158",2009-07-04,39,"MPCB-KR"
"159",2009-07-05,57,"MPCB-KR"
"160",2009-07-06,34,"MPCB-KR"
"161",2009-07-07,30,"MPCB-KR"
"162",2009-07-08,42,"MPCB-KR"
"163",2009-07-09,40,"MPCB-KR"
"164",2009-07-10,35,"MPCB-KR"
"165",2009-07-13,68,"MPCB-KR"
"166",2009-07-14,30,"MPCB-KR"
"167",2009-07-15,48,"MPCB-KR"
"168",2009-07-16,48,"MPCB-KR"
"169",2009-07-17,76,"MPCB-KR"
"170",2009-07-18,80,"MPCB-KR"
"171",2009-07-19,89,"MPCB-KR"
"172",2009-07-20,65,"MPCB-KR"
"173",2009-07-21,48,"MPCB-KR"
"174",2009-07-23,46,"MPCB-KR"
"175",2009-07-24,45,"MPCB-KR"
"176",2009-07-25,48,"MPCB-KR"
"177",2009-07-26,44,"MPCB-KR"
